ulpin,compensation_gap_index,compensation_gap_band,compensation_gap_reason,litigation_propensity_score,litigation_propensity_band,litigation_propensity_reason,heir_claim_count,undocumented_claims,contested_claims,share_total_pct,succession_risk_band,succession_reason
09-002-018-066783,57.08,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,48.3,Medium,Dispute at Under Hearing with 3 matter(s) on file,3,2,0,98.9,Medium,2 heir claim(s) without documentary proof — mutation not established
09-002-018-433132,43.72,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,32.61,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-018-699715,67.12,High,Compensation sanctioned is 41% below the circle-rate benchmark,31.87,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-018-837892,41.67,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,48.66,Medium,Dispute at Under Hearing with 2 matter(s) on file,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-002-019-319626,19.9,Low,Compensation is close to the circle-rate benchmark and largely disbursed,64.28,Medium,Dispute at Under Hearing with 3 matter(s) on file,4,1,0,97.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-002-019-518833,13.83,Low,Compensation is close to the circle-rate benchmark and largely disbursed,57.56,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,0,100.0,Low,All heirship claims documented
09-002-022-794672,59.89,Medium,Compensation sanctioned is 47% below the circle-rate benchmark,6.05,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-024-838219,48.38,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,41.89,Medium,Dispute at Under Hearing with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-024-994533,87.78,High,Compensation sanctioned is 65% below the circle-rate benchmark,25.74,Low,Dispute at Filed with 2 matter(s) on file,4,1,1,100.0,High,Competing heirship claims over the same parcel
09-015-003-087671,39.4,Medium,Only 31% of the sanctioned award has actually been disbursed,60.36,Medium,Dispute at Under Hearing with 6 matter(s) on file,3,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
09-015-005-300589,83.36,High,Compensation sanctioned is 50% below the circle-rate benchmark,70.56,High,Dispute at Under Hearing with 5 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-005-629643,76.04,High,Compensation sanctioned is 65% below the circle-rate benchmark,35.6,Medium,Title is partial over fragmented holdings — objection risk at award,4,2,0,97.3,Medium,2 heir claim(s) without documentary proof — mutation not established
09-015-007-459474,31.37,Low,Compensation is close to the circle-rate benchmark and largely disbursed,41.06,Medium,Title is partial over fragmented holdings — objection risk at award,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-007-970801,84.88,High,Compensation sanctioned is 65% below the circle-rate benchmark,45.83,Medium,Dispute at Under Hearing with 2 matter(s) on file,3,0,2,100.0,High,Competing heirship claims over the same parcel
09-015-009-180643,32.13,Low,Only 37% of the sanctioned award has actually been disbursed,65.89,Medium,Dispute at Filed with 3 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
09-015-009-345447,67.05,High,Compensation sanctioned is 32% below the circle-rate benchmark,53.09,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-010-415617,17.38,Low,Compensation is close to the circle-rate benchmark and largely disbursed,33.25,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-010-940913,84.38,High,Compensation sanctioned is 54% below the circle-rate benchmark,6.45,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-012-869466,42.57,Medium,Only 18% of the sanctioned award has actually been disbursed,9.1,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-013-453498,59.96,Medium,Compensation sanctioned is 37% below the circle-rate benchmark,42.69,Medium,Dispute at Under Hearing with 5 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-013-630484,67.88,High,Compensation sanctioned is 57% below the circle-rate benchmark,49.74,Medium,Dispute at Filed with 6 matter(s) on file,3,1,0,95.6,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-013-819804,59.63,Medium,Compensation sanctioned is 43% below the circle-rate benchmark,73.8,High,Dispute at Under Hearing with 8 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-015-268798,45.59,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,42.97,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-015-720181,20.71,Low,Only 43% of the sanctioned award has actually been disbursed,13.25,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-015-984880,41.3,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,30.46,Low,Dispute at Under Hearing with 2 matter(s) on file,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-017-116286,48.94,Medium,Only 20% of the sanctioned award has actually been disbursed,5.66,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-017-846324,42.74,Medium,Only 45% of the sanctioned award has actually been disbursed,15.8,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-018-017810,52.37,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,49.91,Medium,Title is disputed over fragmented holdings — objection risk at award,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-018-040011,40.72,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,77.68,High,A court stay is in force — the acquisition cannot proceed until it is vacated,3,2,1,95.9,High,Competing heirship claims over the same parcel
09-015-018-258288,58.74,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,64.48,Medium,Dispute at Filed with 7 matter(s) on file,3,0,0,95.1,Medium,3 heirs on one parcel — consent risk at award
09-015-019-290559,35.32,Medium,Only 36% of the sanctioned award has actually been disbursed,40.78,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-020-499467,67.81,High,Compensation sanctioned is 51% below the circle-rate benchmark,48.27,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-020-941039,16.84,Low,Compensation is close to the circle-rate benchmark and largely disbursed,54.47,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,2,1,100.0,High,Competing heirship claims over the same parcel
09-015-021-965587,29.6,Low,Compensation is close to the circle-rate benchmark and largely disbursed,3.21,Low,"Clear title, no live litigation on record",2,0,0,91.1,Low,All heirship claims documented
09-015-022-331393,17.84,Low,Compensation is close to the circle-rate benchmark and largely disbursed,23.59,Low,Dispute at Filed with 2 matter(s) on file,4,1,1,100.0,High,Competing heirship claims over the same parcel
09-015-022-486717,43.81,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,54.18,Medium,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-023-422636,47.26,Medium,Only 29% of the sanctioned award has actually been disbursed,48.66,Medium,Dispute at Under Hearing with 3 matter(s) on file,4,1,0,94.2,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-023-594924,75.94,High,Compensation sanctioned is 55% below the circle-rate benchmark,39.43,Medium,Title is disputed over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-015-024-187536,35.83,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,7.28,Low,"Clear title, no live litigation on record",4,0,2,95.2,High,Competing heirship claims over the same parcel
09-015-024-684741,22.66,Low,Compensation is close to the circle-rate benchmark and largely disbursed,4.94,Low,"Clear title, no live litigation on record",2,0,1,100.0,High,Competing heirship claims over the same parcel
09-031-003-212773,39.55,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,14.26,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-004-338225,48.17,Medium,Only 5% of the sanctioned award has actually been disbursed,37.45,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-004-549123,69.66,High,Compensation sanctioned is 42% below the circle-rate benchmark,39.88,Medium,Dispute at Under Hearing with 1 matter(s) on file,4,0,2,100.0,High,Competing heirship claims over the same parcel
09-031-005-205615,22.53,Low,Compensation is close to the circle-rate benchmark and largely disbursed,13.83,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-006-277677,53.77,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,7.52,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-006-321237,45.5,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,38.79,Medium,Dispute at Under Hearing with 4 matter(s) on file,1,0,0,73.6,Low,All heirship claims documented
09-031-006-348412,71.36,High,Compensation sanctioned is 47% below the circle-rate benchmark,34.37,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-006-779473,70.02,High,Compensation sanctioned is 35% below the circle-rate benchmark,46.0,Medium,Dispute at Under Hearing with 7 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-007-719117,53.06,Medium,Only 10% of the sanctioned award has actually been disbursed,3.07,Low,"Clear title, no live litigation on record",3,0,1,100.0,High,Competing heirship claims over the same parcel
09-031-007-727656,46.6,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,40.28,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-008-581607,25.14,Low,Only 48% of the sanctioned award has actually been disbursed,71.6,High,Dispute at Under Hearing with 9 matter(s) on file,1,0,1,71.6,High,Competing heirship claims over the same parcel
09-031-008-739700,34.92,Medium,Only 48% of the sanctioned award has actually been disbursed,5.6,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-009-301397,67.98,High,Compensation sanctioned is 36% below the circle-rate benchmark,31.75,Low,Dispute at Under Hearing with 1 matter(s) on file,1,0,1,78.0,High,Competing heirship claims over the same parcel
09-031-009-999808,70.1,High,Compensation sanctioned is 48% below the circle-rate benchmark,23.04,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-010-245314,37.02,Medium,Only 46% of the sanctioned award has actually been disbursed,7.72,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-010-551779,50.03,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,25.95,Low,Title is partial over fragmented holdings — objection risk at award,1,0,0,100.0,Low,All heirship claims documented
09-031-010-811785,60.55,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,6.26,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-010-951761,66.44,High,Compensation sanctioned is 42% below the circle-rate benchmark,56.05,Medium,Dispute at Under Hearing with 3 matter(s) on file,3,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
09-031-011-403676,39.0,Medium,Only 47% of the sanctioned award has actually been disbursed,7.63,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-011-782923,62.87,Medium,Compensation sanctioned is 58% below the circle-rate benchmark,32.18,Low,Dispute at Filed with 4 matter(s) on file,2,0,1,98.3,High,Competing heirship claims over the same parcel
09-031-011-974744,36.41,Medium,Only 38% of the sanctioned award has actually been disbursed,9.0,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-012-013572,26.89,Low,Compensation is close to the circle-rate benchmark and largely disbursed,9.97,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-012-968801,32.95,Low,Compensation is close to the circle-rate benchmark and largely disbursed,27.76,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-014-618305,46.15,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,34.54,Medium,Title is partial over fragmented holdings — objection risk at award,4,0,2,100.0,High,Competing heirship claims over the same parcel
09-031-015-251640,85.35,High,Compensation sanctioned is 59% below the circle-rate benchmark,36.77,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-016-995048,40.8,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,44.74,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-018-325979,46.28,Medium,Only 39% of the sanctioned award has actually been disbursed,29.59,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-019-872573,71.02,High,Compensation sanctioned is 43% below the circle-rate benchmark,35.59,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-020-450629,61.18,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,36.69,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-022-184217,21.19,Low,Compensation is close to the circle-rate benchmark and largely disbursed,18.88,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-023-654734,34.89,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,72.03,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-023-935005,70.61,High,Compensation sanctioned is 54% below the circle-rate benchmark,30.69,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-031-024-799118,40.42,Medium,Only 30% of the sanctioned award has actually been disbursed,3.8,Low,"Clear title, no live litigation on record",4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-044-002-147956,46.74,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,25.93,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-003-334004,68.78,High,Compensation sanctioned is 46% below the circle-rate benchmark,30.9,Low,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-006-085636,8.96,Low,Compensation is close to the circle-rate benchmark and largely disbursed,34.28,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-006-290384,37.31,Medium,Only 26% of the sanctioned award has actually been disbursed,10.42,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-007-769720,33.14,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,74.81,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-007-958966,34.75,Medium,Only 18% of the sanctioned award has actually been disbursed,22.62,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-008-240799,64.28,Medium,Compensation sanctioned is 50% below the circle-rate benchmark,5.73,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-008-926898,44.95,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,11.76,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-010-180479,33.42,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,64.26,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,0,3,89.1,High,Competing heirship claims over the same parcel
09-044-010-399385,33.06,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,12.68,Low,"Clear title, no live litigation on record",4,1,0,98.2,Medium,1 heir claim(s) without documentary proof — mutation not established
09-044-011-678937,42.73,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,19.49,Low,Title is partial over fragmented holdings — objection risk at award,4,1,2,100.0,High,Competing heirship claims over the same parcel
09-044-011-783326,50.48,Medium,Compensation sanctioned is 25% below the circle-rate benchmark,18.68,Low,"Clear title, no live litigation on record",1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-044-012-825329,73.3,High,Compensation sanctioned is 42% below the circle-rate benchmark,18.22,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-013-404185,53.84,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,35.2,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-044-014-641225,68.41,High,Compensation sanctioned is 40% below the circle-rate benchmark,21.32,Low,"Clear title, no live litigation on record",3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-044-014-664609,26.02,Low,Compensation is close to the circle-rate benchmark and largely disbursed,37.58,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-015-501491,21.68,Low,Compensation is close to the circle-rate benchmark and largely disbursed,76.84,High,A court stay is in force — the acquisition cannot proceed until it is vacated,4,3,0,100.0,Medium,3 heir claim(s) without documentary proof — mutation not established
09-044-016-349452,46.88,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,41.5,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-016-605257,51.42,Medium,Only 24% of the sanctioned award has actually been disbursed,53.82,Medium,Dispute at Filed with 5 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-016-721787,44.34,Medium,Only 23% of the sanctioned award has actually been disbursed,42.68,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-017-574913,35.85,Medium,Only 33% of the sanctioned award has actually been disbursed,39.88,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-017-935530,14.42,Low,Compensation is close to the circle-rate benchmark and largely disbursed,64.01,Medium,Dispute at Filed with 5 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-018-641015,51.05,Medium,Only 27% of the sanctioned award has actually been disbursed,32.79,Low,Dispute at Filed with 1 matter(s) on file,4,2,1,100.0,High,Competing heirship claims over the same parcel
09-044-018-871523,33.46,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,39.48,Medium,Dispute at Filed with 2 matter(s) on file,3,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
09-044-019-875747,60.48,Medium,Compensation sanctioned is 53% below the circle-rate benchmark,43.54,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-020-405265,36.51,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,45.46,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-020-626400,70.72,High,Compensation sanctioned is 42% below the circle-rate benchmark,46.72,Medium,Title is disputed over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-023-942817,47.54,Medium,Only 32% of the sanctioned award has actually been disbursed,10.12,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-044-024-422247,41.71,Medium,Compensation sanctioned is 37% below the circle-rate benchmark,33.34,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-001-250927,64.7,Medium,Compensation sanctioned is 44% below the circle-rate benchmark,40.08,Medium,Dispute at Filed with 1 matter(s) on file,3,1,1,100.0,High,Competing heirship claims over the same parcel
21-005-003-657654,60.11,Medium,Compensation sanctioned is 49% below the circle-rate benchmark,61.91,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,1,1,0,91.9,Medium,1 heir claim(s) without documentary proof — mutation not established
21-005-006-988546,65.97,Medium,Compensation sanctioned is 40% below the circle-rate benchmark,48.2,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-007-105539,29.78,Low,Compensation is close to the circle-rate benchmark and largely disbursed,26.76,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-007-293405,42.4,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,39.06,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-008-420826,34.74,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,47.1,Medium,Dispute at Filed with 3 matter(s) on file,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
21-005-009-621265,47.59,Medium,Compensation sanctioned is 25% below the circle-rate benchmark,7.88,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-009-683504,38.66,Medium,Only 49% of the sanctioned award has actually been disbursed,38.24,Medium,Dispute at Filed with 4 matter(s) on file,2,0,1,92.2,High,Competing heirship claims over the same parcel
21-005-011-147025,29.93,Low,Compensation is close to the circle-rate benchmark and largely disbursed,35.03,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-011-786728,14.95,Low,Compensation is close to the circle-rate benchmark and largely disbursed,31.97,Low,Dispute at Filed with 1 matter(s) on file,4,1,2,100.0,High,Competing heirship claims over the same parcel
21-005-012-204869,26.68,Low,Compensation is close to the circle-rate benchmark and largely disbursed,6.73,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-012-977271,29.71,Low,Compensation is close to the circle-rate benchmark and largely disbursed,40.15,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-013-007041,26.61,Low,Compensation is close to the circle-rate benchmark and largely disbursed,30.86,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-015-592807,29.08,Low,Compensation is close to the circle-rate benchmark and largely disbursed,22.94,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-015-892443,74.96,High,Compensation sanctioned is 65% below the circle-rate benchmark,28.64,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-016-212873,54.22,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,29.46,Low,Dispute at Under Hearing with 2 matter(s) on file,3,2,0,95.8,Medium,2 heir claim(s) without documentary proof — mutation not established
21-005-017-021538,31.73,Low,Only 20% of the sanctioned award has actually been disbursed,7.12,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-017-162591,37.53,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,5.5,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-019-903819,53.72,Medium,Compensation sanctioned is 32% below the circle-rate benchmark,28.53,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-020-076194,19.78,Low,Compensation is close to the circle-rate benchmark and largely disbursed,81.89,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-020-459268,38.51,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,40.55,Medium,Dispute at Under Hearing with 1 matter(s) on file,1,0,1,100.0,High,Competing heirship claims over the same parcel
21-005-022-175155,53.14,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,6.07,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
21-005-022-199357,40.45,Medium,Only 26% of the sanctioned award has actually been disbursed,8.04,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
